xml_name,name,cas,matched
Fluoxastrobin (sum of fluoxastrobin and its Z-isomer) (R),Fluoxastrobin,361377-29-9,True
Flupyradifurone,Flupyradifurone,951659-40-8,True
Flupyrsulfuron-methyl,Flupyrsulfuron-methyl,,False
Fluquinconazole  (F),Fluquinconazole,136426-54-5,True
Flurochloridone (sum of cis- and trans- isomers) (F),Flurochloridone,61213-25-0,True
"Fluroxypyr (sum of fluroxypyr, its salts, its esters, and its conjugates, expressed as fluroxypyr) (R)(A)",Fluroxypyr,69377-81-7,True
Flurprimidole,Flurprimidole,,False
Flurtamone,Flurtamone,96525-23-4,True
Flusilazole  (R)(F),Flusilazole,85509-19-9,True
Flutianil,Flutianil,958647-10-4,True
Flutolanil  (R),Flutolanil,66332-96-5,True
Flutriafol,Flutriafol,76674-21-0,True
Fluvalinate (sum of isomers) resulting from the use of tau-fluvalinate (F),Fluvalinate (sum of isomers) resulting from the use of tau-fluvalinate,,False
Fluxapyroxad (F),Fluxapyroxad,907204-31-3,True
Folic acid  (+),Folic acid,59-30-3,True
"Folpet (sum of folpet and phtalimide, expressed as folpet) (R)",Folpet,133-07-3,True
Fomesafen,Fomesafen,72178-02-0,True
Foramsulfuron,Foramsulfuron,173159-57-4,True
Forchlorfenuron,Forchlorfenuron,68157-60-8,True
Formetanate: Sum of formetanate and its salts expressed as formetanate (hydrochloride),Formetanate: Sum of formetanate and its salts expressed as formetanate,,False
Formothion,Formothion,2540-82-1,True
Fosetyl,Fosetyl,15845-66-6,True
Fosthiazate,Fosthiazate,98886-44-3,True
Fructose,Fructose,57-48-7,True
Fuberidazole,Fuberidazole,878-19-1,True
Furfural,Furfural,98-01-1,True
Garlic extract  (++),Garlic extract,No CAS allocated,True
Geraniol  (++)(+),Geraniol,106-24-1,True
Gibberellic acid  (++),Gibberellic acid,77-06-5,True
Gibberellin  (++),Gibberellin,,False
Gliocladium catenulatum strain J1446  (++),Gliocladium catenulatum strain J1446,,False
"Glufosinate (sum of glufosinate isomers, its salts and its metabolites 3-[hydroxy(methyl)phosphinoyl]propionic acid (MPP) and N-acetyl-glufosinate (NAG), expressed as glufosinate)","Glufosinate (sum of glufosinate isomers, its salts and its metabolites 3-[hydroxy(methyl)phosphinoyl]propionic acid (MPP) and N-acetyl-glufosinate (NAG), expressed as glufosinate)",,False
Glyphosate,Glyphosate,1071-83-6,True
"Guazatine (guazatine acetate, sum of components)",Guazatine,13516-27-3,True
"Halauxifen-methyl (sum of halauxifen-methyl and X11393729 (halauxifen), expressed as halauxifen-methyl)","Halauxifen-methyl (sum of halauxifen-methyl and X11393729 (halauxifen), expressed as halauxifen-methyl)",,False
Halosulfuron methyl,Halosulfuron methyl,,False
